,Unnamed: 0,Name,City,MinSalary,MaxSalary,Company,Date,Expirience,Employment,WorkSchedule,Descriptions,Duties,Requiremenst,Terms,KeySkills,Day_from_pars
13,13,IT-рекрутер,Москва,80000.0,150781.0,NOMIA,2020-11-05T19:41:39+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  NOMIA  – облачная система для автоматизации различных бизнесов, связанных с продажами любого вида. ",,"   Успешный опыт в IT - рекрутинге от года (Frontend, Backend, System Analyst, DevOps, QA, Product Manager, Architect).    Обязательно  знание современных рабочих инструментов для сорсинга и сёрчинга Специалистов, навыки X-ray или Boolean search.   Понимание разницы в языках программирования.   Успешный опыт в закрытии вакансии других профессиональных областей: бухгалтер, маркетолог, менеджер по продажам и т.д.   Умение использовать и применять в поиске не только job – сайты, но и активно развивать и внедрять нетворкинг.   Самостоятельность в принятии решений, чуткость и внимательность.   Способность быстро впитывать информацию.   Постоянное профессиональное развитие и интерес в области HR.   Отличные коммуникативные навыки. Способность лаконично и грамотно презентовать Компанию Соискателю с учётом его профессиональной специфики.   ",, Кадровое делопроизводство; Рекрутмент; Подбор персонала; Внутренние коммуникации; Адаптация персонала;,2
14,14,Project manager,Санкт-Петербург,130000.0,103311.0,Omega BaaP Limited,2020-11-05T13:53:52+0300,От 3 до 6 лет,Полная занятость,Полный день, Мы — команда разработки Omega Bank. Мы делаем качественный и сложный FinTech продукт на рынке Великобритании и западной Европы. ,,,, Управление проектами; Английский язык; Разработка технических заданий; Бизнес-анализ; Project management; Git; Проектный менеджмент;,2
15,15,IT-рекрутер,Санкт-Петербург,60000.0,150000.0,OPEN SERVICES,2020-11-03T10:59:55+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Привет!  ,,,, Подбор персонала; проведение интервью; Прямой поиск; Аналитическое мышление; Системное мышление; IT Recruitment; Управление талантами;,2
16,16,другие,Москва,50000.0,2000.0,xpate,2020-11-02T13:32:55+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа," Ждем человека, который организует работу наших офисов с технической стороны. ",,,, Администрирование сетевого оборудования; Linux; LAN; Проектирование ЛВС; Mac Os; Английский язык;,2
17,17,IT-рекрутер,Москва,71470.0,150781.0,BORK,2020-11-04T11:40:03+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Кого мы ищем?  ,,,, Прямой поиск; Тайм-менеджмент; Работа в команде; Управление временем; Многозадачность;,2
18,18,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,AIPeople,2020-11-02T18:57:43+0300,Нет опыта,Полная занятость,Полный день,  Ищем талантливого сотрудника в нашу команду aipeople.ru  ,"   Работа по вакансиям компании и партнёрских проектов   Координация встреч и других этапов валидации   Участие в процессе онбординга новых сотрудников   Активное взаимодействие с командой проекта по любым возникающим вопросам   Работа с базой/со статистикой, анализ рынка, подготовка отчётов   ",,, Тайм-менеджмент; Многозадачность; Аналитика; Оценка кандидатов; Прямой поиск; Взаимодействие с ВУЗами; Работа в команде; Грамотная речь; Ведение переговоров; Управление талантами; Деловой этикет;,2
19,19,IT-рекрутер,Москва,71470.0,150781.0,"СИБУР, Группа компаний",2020-11-05T19:54:30+0300,От 3 до 6 лет,Полная занятость,Полный день, Мы – команда подбора и развития бренда работодателя ищем ИТ-рекрутера в нашу дружную команду.  ,,, МЫ ПРЕДЛАГАЕМ: , Подбор персонала; Работа с большим объемом информации; Рекрутмент; IT Recruitment; MS Office;,2
20,20,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,Big Data Solutions,2020-11-03T15:31:41+0300,От 1 года до 3 лет,Полная занятость,Полный день," Доброго дня, возможно наш будущий коллега! Наша небольшая и уютная продуктовая компания Big Data Solutions активно растет. С ростом клиентов растет и наша потребность в новых людях, поиском которых занимаются Валерия и Мария :) ",,,, Рекрутмент; Recruitment; Английский язык; Подбор персонала;,2
21,21,Sales manager,Москва,70000.0,200000.0,ГТА ГРУПП,2020-11-04T15:20:56+0300,От 1 года до 3 лет,Полная занятость,Полный день," Мы системный интегратор. Глобальный поставщик ИТ-решений и сервисов по всей стране. Мы предлагаем комплексные технологические решения, от Софта до аппаратного обеспечения и оказываем широкий спектр ИТ-услуг. Мы партнеры всех известных мировых и российских IT производителей, а также всех ведущих дистрибьюторов нашей страны. ",,,"   Офис в БЦ Калейдоскоп. Ближайшая ст. м.  Нагатинская  или ст. м.  Коломенская  (по расписанию ходят бесплатные шатлы);   График работы 5/2,  с 9.30 до 18.00 , пятница с 9.30 до 17.30;    программа ДМС  плюс стоматология. Обслуживание в лучших клиниках города (предоставляется через пол года работы);   Индивидуальные средне рыночные условия:  оклад  (70.000 - 200.000 руб.) +  бонусы  с продаж (10%);   Четкий прописанный  план адаптации  на испытательный срок (1-2 месяца);    Обучение  за счет компании: навыкам техники продаж, продуктовым линейкам ведущих вендоров;   Молодой и дружный коллектив;   Чай, кофе и вкусная выпечка каждый день;   В минуте ходьбы  фитнес клуб  СССР https://fitness-cccp.ru/clubs/nagatinskaya/ (годовой абонемент предоставляется в подарок от компании через 1 год работы);   В пол минуты ходьбы реально  вкусная столовая  (бизнес ланч 180 рублей);   ВАЖНО! Возможен реальный  карьерный и личностный рост.    ", presale; инженер ИТ; менеджер по продажам; Разработка технических заданий; Сборка ПК; Участие в Тендерах; Информационные технологии;,2
22,22,IT-рекрутер,Санкт-Петербург,52691.0,65000.0,RedLab,2020-11-03T11:30:46+0300,Более 6 лет,Полная занятость,Удаленная работа,  RedLab  входит в группу компаний Litota. 15 лет мы создаем и внедряем решения для развития бизнеса ведущих компаний букмекерской и финансовой сфер. ,,,, Адаптация персонала; Подбор персонала; Оценка персонала; Оценка кандидатов; проведение интервью; Рекрутмент; Прямой поиск; Recruitment; Ведение переписки на иностранном языке;,2
23,23,IT-рекрутер,Москва,50000.0,90000.0,Рубедайт Рус,2020-11-04T13:25:56+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа, Факты о Rubedite: ,"   Поиск сотрудников (в основном, разработчиков)   Проведение первичного собеседования и предоставление подходящих кандидатов нанимающему менеджеру   Участие в онбординге кандидатов   Участие в развитии HR бренда   ","   Опыт в IT рекрутинге от двух лет   Коммуникабельность, проактивность, энергичность   Базовая эрудиция в IT   Наличие своей базы кандидатов будет преимуществом   ","   Удаленка (даже после карантина), но при желании можно посещать офис в г.Троицк (Новая Москва)   Оклад плюс бонусы после прохождения кандидатами испытательного срока   По объему загрузки - полный рабочий день, но важен результат, а не часы проведенные в процессе его получения   ",,2
24,24,IT Специалист,Санкт-Петербург,46714.0,83400.0,Хладокомбинат №1,2020-11-05T11:27:15+0300,От 1 года до 3 лет,Полная занятость,Полный день, Международная производственно-коммерческая FMCG Компания ,"   Установка, настройка и обновление рабочих станций;   Выполнение процедур для новых и ушедших сотрудников (учетные записи);   Помощь сотрудникам при работе с программным обеспечением рабочих станций;   Закупка, учет и списание ИТ техники;   Планирование бюджета;   Ведение документации ИТ с использованием программного обеспечения;   Соблюдение и мониторинг норм информационной безопасности;   Коммуникация с партнерами ИТ сервисов и техники.   ","   Опыт работы от 1 года;   Знание программного обеспечения рабочих станций, активная директория;   Знание операционных систем Windows 8, 10, MS Office.   ","   Оформление в соответствии с трудовым законодательством;   Официальную заработную плату;   Офис в шаговой доступности от метро;   Интересную работу и возможность профессионального роста;   Комфортный офис, вкусный кофе и мороженое.   ",,2
25,25,IT-рекрутер,Москва,71470.0,150781.0,КСК-Эйч Ар,2020-11-03T14:29:09+0300,От 1 года до 3 лет,Полная занятость,Гибкий график, Freelance IT Recruiter ,,,, Подбор персонала; Рекрутмент; Оценка кандидатов; Прямой поиск;,2
26,26,Стажёр,Москва,,35000.0,Лаборатория Касперского,2020-11-03T09:06:01+0300,Нет опыта,Стажировка,Полный день,  Кто мы:  ,,"   Обязательно  студент/-ка  бакалавриата/магистратуры и заканчиваешь обучение не раньше 2022 года.   Можешь работать не менее 30-35 часов в неделю (желательно в промежутке 10:00-18:30).   Клиентоориентированность.   Высокая коммуникативность, умение работать в команде.   Стрессоустойчивость.   Умение использовать гайды.   Готовность обучаться.   ",, Английский язык; Работа в команде; Windows Xp; Информационные технологии;,2
27,27,Project manager,Москва,130000.0,200000.0,Postuf,2020-11-04T13:33:28+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   Организация работы проектной команды разработки;   Подготовка документации для старта и завершения проектов;   Подготовка технических и функциональных требований к проектам;   Организация регулярных командных встреч, переговоров с заказчиком;   Разработка дорожной карты проектов;   Участие в оптимизации бизнес-процессов;   Самостоятельное решение любой проблемы, возникшей во время работы над проектом;   Активно взаимодействовать с участниками проекта: разработчики, тестировщики, дизайнеры и т. д.   ","   Опыт работы руководителем/менеджером проектов в сфере мобильной или веб-разработки;   Опыт работы в продуктовой компании;   Опыт успешной реализации проектов в роли руководителя/менеджера;   Умение применять в реальной практике стандарты и методологии: планировать и распределять ресурсы, оценивать сроки, риски, управлять качеством реализации проектов, декомпозировать и приоритизировать и задачи;   Организаторские способности, коммуникабельность, стрессоустойчивость, честность;   Опыт ведения проектов в Atlassian Jira и Confluence.   ","   Гибкий график;   Повышение заработной платы на 10.000 рублей каждые полгода;   Apple техника (macbook pro + 4K монитор);     Горячие  обеды , фрукты, кофе, чай, шоколадки, печенье;       Комфортный офис в 3 минутах от м. Курская (БЦ «Мельницкий»);     Компенсируем оплату за переезд (первый месяц проживания в Москве за наш счет);   Своевременная выплата зарплат, оформление по ТК.   ", Agile Project Management; Управление проектами; Atlassian Jira; Scrum; Project management; Умение работать в команде;,2
28,28,IT-рекрутер,Екатеринбург,50000.0,60000.0,СКБ ЛАБ,2020-11-05T10:19:44+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  UPD: Мы знаем, что в это непростое время всё нестабильно, кроме того, что работа и подбор в СКБ ЛАБ продолжается! Более того, мы продолжаем трудоустраивать и адаптировать сотрудников к новым проектам, но сейчас делаем это дистанционно!  ",,,, Рекрутмент; Управление персоналом; Оценка персонала; Адаптация; Ведение переговоров; MS Outlook; Организация мероприятий; Деловая переписка; Деловое общение; Деловая коммуникация; Телефонные переговоры; Грамотная речь; Электронная почта; Сорсинг;,2
29,29,Project manager,Санкт-Петербург,83953.0,103311.0,Alber Blanc,2020-11-05T20:15:57+0300,От 1 года до 3 лет,Полная занятость,Гибкий график," We are a team of highly motivated and skilled engineers, architects and mathematicians who successfully work on international electronic markets for more than 10 years. We have offices in Italy and Russia and constantly need the most advanced technology, trading software and better connections to the market. Now we are looking for a talented and experienced project manager to help us make the development process more conscious and structured. For this role, we have a variety of interesting tasks. Some of them are: ",,,, Project management; Team management; Business Development; Communication skills; Development; Business Planning;,2
30,30,Project manager,Москва,102990.0,124346.0,Свитклаб,2020-11-04T10:14:01+0300,От 3 до 6 лет,Полная занятость,Полный день,"  Sweet Club  - мы являемся официальным партнером 20 мультипликационных студий, таких как  Disney ,  Marvel, Star Wars,   Universal  и других, и помогаем кондитерским легально производить торты и десерты с изображением популярных героев.  Сейчас нашими партнёрами являются 20 международных мультипликационных студий. А партнёров-кондитеров у нас более 150 с 500+ точками продаж (их общая выручка кондитерских в системе сейчас около 10 млрд в год).  За год мы выросли по прибыли в 3 раза абсолютно без сторонних вложений и через нашу систему прошли 25 000 проданных десертов!  В сентябре 2020 мы успешно привлекли инвестиции, с помощью которых планируем в следующем году вырасти в 10 раз по прибыли;  Нам в команду очень нужен сильный  Project manager (с хорошей IT экспертизой) .   Что нужно будет делать:   - выявлять у партнеров (кондитеров) удовлетворенность продуктом и процессами (Nsat) и формировать гипотезы для улучшения; - ставить технические задания внешним разработчикам, а также контролировать их выполнение и качество; - собирать под задачи новых подрядчиков; - доделать интеграции между сущностями (сейчас есть сайт-платформа - это сердце нашего проекта, несколько лендингов, bitrix (от него хотелось бы уйти), 1C) и сделать автоматизацию процессов (там где это уместно);   От вас:  - опыт работы от 3х лет на аналогичной позиции; - широкий опыт в проектах, связанных с IT ( обязательное условие ); - хорошее понимание трендов на рынке разработки; - умение переводить с языка бизнеса на язык разработчиков и обратно; - хорошая база внешних разработчиков; - способность к самоорганизации и готовность брать на себя ответственность за свою работу и конечный результат.   От нас:  ",,,, Project Documentation; Разработка технических заданий; Постановка задач разработчикам; Оптимизация бизнес-процессов; Разработка проектной документации; Бизнес-анализ; руководство командой разработчиков; Управление проектами;,2
31,31,IT-рекрутер,Москва,80000.0,150781.0,FinFort,2020-11-05T09:34:15+0300,От 1 года до 3 лет,Полная занятость,Полный день," Мы в FinFort собираем сильную HR-команду и приглашаем присоединиться к ней  IT-рекрутера  , который поможет нам в поиске лучших специалистов. ","   IT-подбор;   Ведение кандидата от первого интервью и до момента его оформления;   Аналитика рынка;   Отслеживание тенденций в IT-рекрутинге;   Участие в системе адаптации персонала;   Выполнение плана по укомплектованности проектных команд;   Участие в профильных мероприятиях (круглые столы, хакатоны, etc.);   Самое непосредственное участие в формировании и развитии HR-бренда;   Talent Management;   ",,, Подбор персонала; Рекрутмент; Адаптация персонала; IT Recruitment;,2
32,32,Project manager,Москва,102990.0,124346.0,Prophet,2020-11-04T14:21:34+0300,От 3 до 6 лет,Полная занятость,Полный день, Любите высокие технологии и уже успели обзавестись подтвержденным опытом в проектах ITнаправления? ,,,,,2
33,33,IT Специалист,Санкт-Петербург,30000.0,83400.0,КИДКОРТ,2020-11-05T13:14:12+0300,От 1 года до 3 лет,Частичная занятость,Гибкий график," Добрый день, уважаемый кандидат! :) ",,,   комфортный график работы (частичная занятость/удалённый формат);   интересные задачи;   работа в крутом и развивающемся проекте;   , amoCRM; ERP; Оптимизация бизнес-процессов; Техническая поддержка;,2
34,34,Project manager,Санкт-Петербург,83953.0,103311.0,Глассен-АйТи,2020-11-04T13:59:11+0300,От 3 до 6 лет,Полная занятость,Полный день,"  Glassen-IT  - российская компания, и мы специализируемся на комплексной разработке и сопровождении IT-решений для государственных и коммерческих организаций. ",,"   Опыт управления проектами в сфере ИТ от 2-х лет   Способность вести одновременно несколько проектов и задач   Навыки управления распределенной командой   Владение инструментами для управления проектами и поддержки процесса разработки   Умение работать с проектной документацией и отчетностью   Технический бэкграунд, умение разобраться в архитектуре проекта, тех. решениях   Понимание процессов разработки IT-продуктов   Поиск специалистов при необходимости   ",, Управление проектами; CRM; Информационные технологии; MS Project; Организация деловых поездок;,2
35,35,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,DINS,2020-11-05T19:07:00+0300,От 1 года до 3 лет,Полная занятость,Полный день, В связи с продолжающимся активным ростом компании мы ищем коллегу в команду рекрутмента! Наша команда занимается подбором и адаптацией сотрудников в компанию. ,,,   , Рекрутмент; Подбор персонала; Английский язык; Оценка кандидатов;,2
36,36,IT-рекрутер,Москва,71470.0,150781.0,Сенс Групп,2020-11-03T15:25:41+0300,От 3 до 6 лет,Частичная занятость,Гибкий график," SENSE group — рекрутинговый бутик, лидер экспертного подбора по отраслям: IT, e-commerce, finance, telecom ищет опытного специалиста для усиления IT-практики ",,,, Подбор персонала; Рекрутмент;,2
37,37,Project manager,Москва,102990.0,124346.0,Фарма-Менеджмент,2020-11-03T15:14:34+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"    Обеспечение непрерывности функционирования информационной системы предприятия, локализация и устранение сбоев;     Администрирование серверо  в предприятия;     Техническая поддержка пользователей (офис  ы Управляющей компании, аптеки 2-я линия); обслуживание ПК, управления вспомогательными системами, систем сбора данных;     Консультации пользователей по вопросам работы компьютерной техники и ПО;     Ремонт и обслуживание оборудования локальной вычислительной сети, систем безопасности, видеонаблюдения и контроля доступа;     Работа с технической документацией.    ","    Образование: Высшее техническое / Среднее специальное;     Опыт работы по специальности от 3х лет;     Уверенные знания типового оборудования ЛВС – железо, администрирование, безопасность (HP, D-Link, Huawei,   Mikrotik  ); администрирование серверов и рабочих станций Windows Srv 2016/12/08,  MS Exchange  ,желательно значение   MS Sharepoint  ; администрирование AD/LDAP/GPO; виртуализация Vmware, Hyper-V; СУБД MS-SQL; телефония VoIP, аналоговая; опыт администрирования и обслуживания, техническая поддержка рабочих станций пользователей (Windows  7,8,10,), продвинутый пользователь   MS OFFICE;     Закупка оборудования;     Работа с первичными договорными документами.    ","    Официальное оформление с предоставлением всех гарантий и компенсаций, предусмотренных ТК РФ;     График работы 5/2 (9-00 до 18-00);     Стабильная выплата заработной платы 2 раза в месяц (полностью официальная на карту);     Оплачиваемый отпуск 28 дней;     Комфортный офис класса ""В+"", м. Кожуховская - 4 минуты пешком от метро;     Дружный коллектив.    ",,2
38,38,Project manager,Москва,102990.0,124346.0,Марктек,2020-11-04T19:13:25+0300,От 3 до 6 лет,Полная занятость,Удаленная работа," As IT Infrastructure Lead your primary role will be to organize deployments (both hardware and software) and non-interruptive operation of company IT resources, both internal and external. More than 150 servers, 50 applications, 5 engineers and several outsourcing companies require proper planning, management, coordination and ideological support. ",,,, Docker/Kubernetes; OpenStack; LDAP; Git; Postgre; MySQL; Blockchain; Zookeeper; Jenkins; Swift/S3;,2
39,39,другие,Москва,50000.0,62461.0,Perfetti Van Melle,2020-11-03T11:33:23+0300,Нет опыта,Стажировка,Полный день," Perfetti van Melle – international innovative company, produced famous confectionary products Chupa-Chups, Mentos, Meller, Fruittella, Sula. ",,,, Английский язык; ITDashboard; Helpdesk; Windows 8;,2
40,40,Project manager,Москва,102990.0,124346.0,"EPAM Systems, Inc.",2020-11-02T11:53:49+0300,Более 6 лет,Полная занятость,Полный день, ,"   Координация работы команды, в том числе участников команды других вендоров   Управление процессом разработки - от поступления новых требования до мержа pull request   Обеспечение внутренних и внешних событий для команды, такие как архкомитеты,Daily, Planning, Demo, Retro и тп.   Создание артефактов в JIRA, обеспечение корректного списания времени команды в JIRA и Time   Создание и поддержка спейсов, бордов и фильтров команды, обеспечение прозрачности процесса и результатов команды для стейкхолдеров   Организация e2e тестирования   Коммуникации с PO и стейкхолдерами, приоритизация, предоставление текущих статусов, качественная обратная связь   Контроль наполнения и управление бэклогом   Создание и ведение общего плана разработок кросс-команды, контроль оценок   Сопоставление релизных планов разных систем   Управление рисками   Управление и развитие кросс-команды   Подготовка и согласование отчётов по команде   ",     Опыт управления проектами в сфере ИТ от 5 лет       Хороший опыт в организации процесса разработки и написании соответствующих регламентов       Умение легко доносить до людей письменно и устно сложные технические вещи. Отличная техническая грамотность и коммуникабельность     Умение быстро переключаться в режиме многозадачности и принимать решения   Владение опытом работы со сложными заинтересованными лицами   Отличные организационные и аналитические навыки   ,, Atlassian Jira; Agile Project Management; Управление проектами; Внутренние коммуникации; Организаторские навыки;,2
